country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,X
USA,PG-13,40000000,2004,534,6.6,2.35,0,1241
USA,PG,40000000,2006,426,6.8,2.35,0,1242
USA,PG-13,43000000,2005,351,6.5,2.35,0,1243
USA,PG,25000000,2012,2000,6.6,1.85,11000,1244
USA,PG-13,40000000,2008,689,5.8,2.35,3000,1245
USA,R,40000000,2014,413,6.9,2.35,16000,1246
USA,PG-13,40000000,1997,936,7.1,2.35,0,1247
USA,R,40000000,2003,534,5.8,1.85,0,1248
USA,R,36000000,1997,11000,7.2,1.85,0,1249
USA,PG-13,40000000,1992,47,6,2.35,694,1250
USA,R,40000000,2007,741,4.7,2.35,0,1251
USA,PG,40000000,1994,450,5.2,1.85,0,1252
USA,PG-13,40000000,2000,1000,5.5,1.85,0,1253
USA,PG-13,,2007,690,6.5,1.85,0,1254
USA,R,40000000,2011,61,7,2.35,42000,1255
USA,PG-13,40000000,2012,358,5.8,2.35,0,1256
USA,R,40000000,2011,741,6.2,2.35,26000,1257
Germany,R,40000000,1999,638,6.5,2.35,0,1258
USA,R,38000000,1991,576,7.2,2.35,0,1259
USA,R,40000000,2014,392,5.1,1.85,0,1260
Germany,PG-13,60000000,2000,258,4.7,1.85,390,1261
USA,R,40000000,2011,682,5.9,2.35,20000,1262
UK,PG-13,40000000,1999,683,5.8,1.85,445,1263
USA,PG-13,40000000,2000,3000,7.2,1.85,16000,1264
USA,PG-13,30000000,2005,299,6.2,2.35,0,1265
Canada,TV-Y,,,21,7.4,1.33,301,1266
USA,PG-13,40000000,2008,613,5.7,2.35,702,1267
USA,R,40000000,2014,9000,6.1,2.35,24000,1268
USA,PG-13,25000000,1994,595,6,1.85,0,1269
USA,PG-13,40000000,2011,467,6.9,2.35,39000,1270
USA,PG-13,40000000,2010,117,6.5,2.35,0,1271
USA,R,40000000,2005,1000,5,2.35,0,1272
USA,R,40000000,2000,1000,5.7,2.35,470,1273
USA,PG-13,40000000,2005,1000,7,2.35,3000,1274
USA,R,40000000,2000,941,5.1,2.35,394,1275
USA,PG-13,40000000,1999,322,5.3,1.85,279,1276
USA,PG-13,40000000,1996,368,4.4,2.35,0,1277
Germany,PG-13,40000000,2001,931,4.7,2.35,299,1278
UK,PG-13,35000000,2008,19000,6.7,1.85,0,1279
USA,PG-13,40000000,2001,9000,6.7,1.85,8000,1280
USA,R,40000000,2007,253,5.7,2.35,0,1281
USA,R,500000,1973,926,7.4,1.85,0,1282
USA,PG-13,40000000,1994,754,6.1,1.85,680,1283
France,PG-13,40000000,2011,738,6.4,2.35,15000,1284
USA,G,40000000,1998,908,6.2,1.85,0,1285
USA,R,60000000,2002,11000,6.2,2.35,416,1286
USA,PG-13,60000000,1999,886,5.9,1.85,0,1287
USA,PG-13,40000000,2004,1000,4,2.35,0,1288
USA,R,40000000,1996,940,6.2,1.85,309,1289
France,NC-17,45000000,1995,893,4.6,2.35,0,1290
USA,PG-13,40000000,2006,887,6.4,1.85,0,1291
USA,R,40000000,1995,975,5.9,1.85,555,1292
USA,R,40000000,2000,530,5.1,2.35,604,1293
Spain,PG-13,45000000,2012,382,7.6,2.35,54000,1294
USA,PG-13,51000000,1987,631,4.2,1.85,754,1295
USA,PG,40000000,2009,11000,7.8,1.85,15000,1296
USA,PG-13,40000000,2002,944,5.8,2.35,835,1297
USA,PG-13,40000000,1992,658,5.9,2.35,630,1298
France,R,77000000,2001,326,8.4,2.35,39000,1299
USA,PG,30000000,2004,799,4.8,1.85,849,1300
UK,R,60000000,2004,826,6.2,1.85,0,1301
USA,PG,40000000,2012,596,6.5,2.35,0,1302
USA,PG-13,40000000,1999,642,6.3,1.85,579,1303
UK,R,42000000,2002,886,3.3,2.35,612,1304
USA,PG-13,40000000,2009,4000,5.9,2.35,0,1305
USA,PG-13,40000000,2015,1000,6,2.35,11000,1306
USA,PG-13,40000000,2003,627,5.8,1.85,0,1307
USA,R,,2008,760,6.5,2.35,866,1308
UK,PG,36000000,1980,372,4.7,2.35,328,1309
USA,R,24000000,1999,577,4.1,1.85,401,1310
Germany,R,33000000,2009,2000,6.8,2.35,10000,1311
USA,R,40000000,2001,1000,6.2,1.85,892,1312
UK,PG-13,40000000,2002,545,4.5,2.35,158,1313
France,PG-13,40000000,2001,248,5.8,2.35,565,1314
UK,R,26000000,2007,372,7.3,2.35,15000,1315
USA,PG-13,40000000,2012,46,5.9,2.35,0,1316
USA,PG,40000000,2008,754,4.4,1.85,211,1317
USA,R,40000000,2015,535,5.8,2.35,0,1318
Germany,PG,40000000,2006,460,5.1,2.35,823,1319
USA,PG-13,20000000,2007,617,6.9,1.85,0,1320
USA,PG-13,20000000,1995,922,6.2,2.35,12000,1321
USA,R,25000000,2007,3,6.9,2.35,0,1322
UK,PG,30000000,1994,970,7.3,1.85,0,1323
Hong Kong,R,40000000,2007,755,7.1,2.35,0,1324
France,R,25000000,2005,580,6,2.35,265,1325
South Korea,R,39200000,2013,557,7,1.85,58000,1326
France,PG,25000000,2011,559,6.8,1.85,0,1327
USA,R,,2004,894,5.7,1.85,89,1328
USA,R,23000000,1994,581,7.6,1.85,15000,1329
India,,18026148,2015,133,8.4,1.85,21000,1330
USA,PG-13,39000000,2009,142,7.1,2.35,13000,1331
USA,PG-13,,2007,452,5.6,1.85,0,1332
USA,PG-13,38000000,2001,14000,6.7,2.35,14000,1333
USA,PG,39000000,2012,925,7,1.85,25000,1334
USA,PG-13,40000000,2005,505,8,2.35,14000,1335
USA,PG-13,39000000,2004,534,5.3,2.35,177,1336
UK,PG,39000000,1983,542,4.9,2.35,0,1337
USA,PG-13,40000000,2013,13000,6.4,1.85,12000,1338
China,R,553632000,2008,643,7.4,2.35,0,1339
USA,PG-13,38000000,2002,935,6.1,2.35,0,1340
USA,R,38000000,2009,957,6.5,2.35,9000,1341
USA,PG,39000000,1996,516,5.7,2.35,478,1342
USA,PG,38000000,2002,2000,5.1,1.85,478,1343
USA,PG,35000000,1994,946,6.6,2.35,0,1344
Hong Kong,PG-13,38600000,2013,290,6.5,2.35,13000,1345
USA,PG-13,38000000,2011,11000,6.9,2.35,33000,1346
USA,TV-PG,,,967,7.8,1.33,0,1347
China,,40000000,2014,47,6.4,,0,1348
USA,R,38000000,1999,584,7.6,1.85,0,1349
USA,PG-13,38000000,2002,919,5.6,2.35,0,1350
USA,PG-13,35000000,2001,754,6.2,2.35,989,1351
USA,PG,30000000,2015,557,4.4,1.85,8000,1352
USA,R,38000000,2001,285,5.6,1.85,689,1353
USA,PG,38000000,2001,543,5.5,1.85,168,1354
Spain,R,38000000,1999,903,6.7,2.35,0,1355
USA,R,38000000,1996,210,6.1,2.35,352,1356
USA,R,57000000,2001,316,6.2,2.35,0,1357
USA,R,10000000,2009,906,7.3,1.85,12000,1358
USA,PG-13,38000000,1996,1000,6.6,2.35,911,1359
USA,R,15000000,1982,163,8.2,2.35,23000,1360
USA,R,38000000,2013,924,6.4,2.35,39000,1361
USA,R,37000000,1997,12,6.4,2.35,389,1362
USA,PG-13,38000000,2001,569,5.2,2.35,474,1363
USA,PG,55000000,2008,2000,6.5,2.35,0,1364
USA,R,32000000,2012,18,7.1,1.85,27000,1365
Italy,R,38000000,2007,476,4.8,1.85,366,1366
USA,PG,40000000,2008,898,7.3,2.35,0,1367
USA,PG-13,38000000,2016,1000,5.2,2.35,14000,1368
USA,PG-13,35000000,2015,597,7.7,2.35,70000,1369
USA,R,37000000,2010,4000,7.6,2.35,29000,1370
USA,PG-13,40000000,2012,2000,5.7,2.35,14000,1371
USA,R,37000000,2008,11000,7,1.85,0,1372
USA,PG,37000000,2008,82,6,2.35,0,1373
UK,R,38000000,2013,10000,8.1,2.35,83000,1374
USA,R,37000000,1999,625,8,2.35,13000,1375
USA,R,37000000,2010,642,5.6,2.35,0,1376
USA,R,38000000,2016,756,6.1,2.35,15000,1377
USA,PG,37000000,2011,680,6.9,1.85,0,1378
USA,PG-13,37000000,2008,12000,5.2,2.35,19000,1379
USA,PG-13,36000000,2002,669,7,1.85,0,1380
USA,PG-13,65000000,1999,744,6.3,1.85,0,1381
USA,R,37000000,2013,707,7,2.35,35000,1382
Russia,,29500000,2009,35,5.3,,240,1383
USA,R,36000000,1997,284,6.9,2.35,0,1384
UK,PG,36000000,1983,172,6.2,2.35,0,1385
USA,R,36000000,2010,390,6.4,1.85,12000,1386
USA,PG,36000000,2014,641,6.4,1.85,0,1387
USA,R,34000000,2000,1000,5.7,2.35,852,1388
USA,R,36000000,2003,919,6.1,2.35,0,1389
USA,PG-13,37000000,2015,14000,5.4,1.85,11000,1390
USA,PG-13,36000000,1996,912,6.7,1.85,591,1391
USA,PG-13,36000000,1999,602,6.8,2.35,846,1392
USA,PG-13,37000000,2011,3000,6,2.35,23000,1393
USA,PG-13,36000000,1997,485,7.8,2.35,17000,1394
USA,R,36000000,2000,886,5.3,1.85,133,1395
USA,G,37000000,2008,521,4.5,2.35,279,1396
USA,PG-13,35200000,2003,812,5.4,1.85,638,1397
USA,R,35000000,2009,839,7.8,2.35,24000,1398
Hong Kong,PG-13,36000000,2015,79,7.2,2.35,12000,1399
USA,PG-13,33000000,1999,645,6.6,2.35,0,1400
USA,PG-13,35000000,1989,549,7.6,1.85,12000,1401
Spain,PG-13,36000000,2011,794,5.9,2.35,2000,1402
USA,R,35000000,1992,277,6.7,2.35,0,1403
USA,PG-13,29000000,2009,734,7.7,1.85,38000,1404
USA,TV-14,,,618,5.8,16,0,1405
USA,PG,35000000,2001,843,5.4,1.85,0,1406
USA,R,35000000,2011,464,6.9,2.35,31000,1407
USA,PG-13,38000000,2010,12000,7.7,2.35,36000,1408
USA,PG-13,35000000,2006,11000,6.8,2.35,0,1409
USA,PG,35000000,1979,664,6.4,2.35,0,1410
USA,R,35000000,2013,904,5.7,2.35,17000,1411
USA,R,35000000,1991,1000,7.3,2.35,0,1412
USA,PG-13,35000000,2008,5000,6.8,2.35,0,1413
Japan,R,35000000,2015,392,6.3,2.35,25000,1414
USA,PG-13,35000000,2005,358,5.9,1.85,919,1415
USA,R,27000000,1996,1000,7.4,1.85,0,1416
USA,R,35000000,1997,398,8.3,2.35,11000,1417
USA,PG,35000000,2005,742,6.2,2.35,0,1418
USA,PG-13,35000000,1997,957,6.3,1.85,0,1419
USA,R,35000000,1995,759,5.8,2.35,0,1420
USA,X,1800000,1984,852,7.5,1.85,10000,1421
USA,R,33000000,2000,551,6.3,2.35,0,1422
USA,PG-13,35000000,1998,130,6.4,1.85,0,1423
USA,PG,35000000,2010,638,7.2,2.35,0,1424
Hong Kong,PG,34000000,2007,4000,6.3,2.35,0,1425
USA,PG,35000000,2003,762,6.9,1.85,0,1426
USA,R,35000000,2011,3000,6.6,2.35,41000,1427
USA,R,35000000,2016,329,6,2.35,0,1428
USA,PG-13,35000000,2013,2000,7.5,2.35,39000,1429
USA,PG-13,33000000,1992,848,7.7,1.85,0,1430
USA,R,35000000,2012,130,6.2,2.35,18000,1431
USA,PG,35000000,2009,1000,5.4,1.85,0,1432
USA,R,35000000,2009,593,6.6,2.35,0,1433
USA,PG-13,35000000,2007,838,5.3,2.35,913,1434
USA,PG-13,33000000,2006,970,5.6,1.85,0,1435
USA,PG-13,30000000,2005,940,5.9,2.35,0,1436
USA,R,35000000,1997,14000,7.8,2.35,0,1437
UK,R,33000000,2002,2000,6.7,1.85,0,1438
USA,PG,10700000,1982,770,7.4,2.35,11000,1439
USA,R,35000000,2004,15000,6.2,1.85,0,1440
Canada,PG-13,35000000,2008,552,5.4,2.35,0,1441
USA,PG-13,40000000,2011,10000,6.7,2.35,52000,1442
USA,PG-13,35000000,2010,700,5.3,2.35,0,1443
USA,PG-13,35000000,2011,826,5.9,1.85,13000,1444
USA,,,,637,7,,265,1445
USA,PG-13,50000000,2001,691,4.8,2.35,0,1446
USA,PG,,1976,257,7.3,1.85,0,1447
Japan,PG-13,35000000,1994,1000,3.8,2.35,0,1448
France,R,35000000,2002,338,8.5,1.85,21000,1449
USA,R,35000000,2001,1000,6.8,2.35,0,1450
USA,PG,30000000,2006,224,6.8,2.35,0,1451
Australia,R,30000000,2005,716,5.3,1.85,0,1452
USA,R,27000000,2004,8000,7.3,1.85,12000,1453
USA,R,35000000,2011,6000,6.6,2.35,16000,1454
USA,R,35000000,2008,915,6.2,2.35,5000,1455
USA,R,35000000,2002,541,5.2,2.35,0,1456
USA,R,35000000,1990,683,6.2,1.37,0,1457
USA,R,35000000,2008,648,6.2,2.35,0,1458
USA,PG-13,35000000,1999,874,6.6,2.35,0,1459
UK,PG,20000000,1980,488,6.4,2.35,12000,1460
USA,PG-13,35000000,2004,854,6.2,2.35,0,1461
USA,PG-13,35000000,2012,445,5.1,2.35,11000,1462
USA,R,30000000,1997,461,6.6,1.85,0,1463
USA,R,19000000,2015,1000,6.1,2.35,0,1464
UK,PG,35000000,2010,175,6.1,2.35,0,1465
USA,R,35000000,1992,263,6.6,2.35,949,1466
USA,PG-13,30000000,2008,716,5.9,2.35,0,1467
USA,PG,35000000,2004,1000,6.3,1.85,0,1468
UK,PG-13,35000000,2015,979,7.1,2.35,23000,1469
USA,PG-13,35000000,2011,73,5,2.35,13000,1470
UK,G,35000000,2005,766,5.6,1.85,538,1471
USA,R,55000000,2000,826,7.4,2.35,0,1472
USA,PG-13,35000000,2008,642,4.5,1.85,0,1473
USA,R,35000000,2013,412,6.2,2.35,0,1474
USA,PG-13,35000000,2005,573,5,2.35,0,1475
USA,PG-13,35000000,2012,1000,6.5,2.35,20000,1476
USA,PG-13,35000000,2015,328,5.1,2.35,0,1477
UK,PG-13,35000000,2002,61,6.5,2.35,0,1478
USA,R,35000000,2013,968,6.2,2.35,17000,1479
UK,PG-13,31000000,2004,4000,6.3,2.35,0,1480
USA,PG,35000000,2010,1000,3.8,1.85,0,1481
Australia,R,30000000,2012,351,5.2,1.85,0,1482
UK,PG,27000000,1983,192,6,2.35,0,1483
USA,R,35000000,2007,10000,6.2,2.35,0,1484
USA,PG-13,35000000,1991,367,5.7,2.35,452,1485
USA,R,35000000,2007,214,6.7,2.35,0,1486
USA,R,35000000,2001,826,6.8,2.35,0,1487
USA,PG-13,35000000,2001,605,6,1.85,433,1488
UK,PG,35000000,2009,1000,7.3,2.35,0,1489
USA,R,35000000,2009,603,5.5,2.35,0,1490
USA,PG-13,32000000,2011,1000,6.7,1.85,39000,1491
Aruba,R,35000000,1998,316,4.8,2.35,471,1492
USA,R,35000000,2014,206,5.7,1.85,10000,1493
USA,R,38000000,2003,891,5.1,1.85,704,1494
USA,R,35000000,2008,967,6,2.35,0,1495
USA,PG,35000000,2006,826,4.2,1.85,494,1496
USA,PG,35000000,2015,22,7.4,2.35,24000,1497
USA,PG,35000000,1997,457,4.6,2.35,0,1498
USA,PG-13,35000000,2006,883,6.9,2.35,9000,1499
UK,TV-MA,,,729,8.6,16,20000,1500
USA,PG-13,35000000,1992,864,6.9,2.35,892,1501
USA,R,35000000,1993,674,8,1.66,6000,1502
Denmark,R,35000000,1997,1000,6.4,2.35,561,1503
France,R,35000000,2002,298,6.3,1.85,675,1504
Libya,PG,35000000,1980,279,8.4,2.35,0,1505
France,R,,1995,541,7.1,2.35,262,1506
USA,R,35000000,1999,2,6.8,2.35,633,1507
Mexico,R,,2010,9,7.5,2.35,29000,1508
Belgium,R,,2015,525,4.5,,677,1509
France,PG-13,32000000,2006,820,5.7,2.35,0,1510
USA,,23000000,2009,856,7.2,,26,1511
USA,PG-13,34000000,2014,149,6.8,2.35,38000,1512
USA,R,35000000,2015,249,5.4,2.35,0,1513
USA,PG,30000000,1993,382,7.2,2.35,0,1514
USA,PG-13,35000000,2006,1000,7.3,1.85,23000,1515
USA,R,34000000,1999,248,5.2,2.35,120,1516
USA,R,35000000,2012,774,5.5,2.35,0,1517
Japan,G,34000000,2008,3,7.7,1.85,0,1518
USA,PG-13,34000000,2015,970,7.1,2.35,23000,1519
USA,R,34000000,1999,9000,5.3,1.85,1000,1520
USA,PG-13,34000000,2000,649,5.6,2.35,314,1521
USA,PG-13,35000000,2012,2000,5.7,2.35,0,1522
UK,PG-13,35000000,2013,98,7.1,2.35,13000,1523
USA,PG,35000000,1981,631,7.5,1.85,0,1524
USA,R,40000000,1992,2000,7.6,2.35,0,1525
USA,R,33000000,2001,1000,5.5,2.35,742,1526
USA,PG-13,30000000,2000,436,5.1,1.85,1000,1527
Belgium,,34000000,2013,15,6.3,2.35,0,1528
USA,PG-13,30000000,2011,150,4.9,2.35,0,1529
USA,PG-13,33000000,2012,594,6.5,2.35,19000,1530
Germany,R,33000000,2006,521,5.6,2.35,4000,1531
USA,R,33000000,2000,223,5.3,1.85,463,1532
USA,R,33000000,2004,403,6.5,2.35,4000,1533
USA,PG-13,10000000,2005,580,6.8,2.35,0,1534
USA,R,30000000,2012,828,6.5,2.35,12000,1535
USA,R,38000000,1999,617,6,2.35,783,1536
USA,PG,32500000,1983,1000,8.4,2.35,14000,1537
UK,R,30000000,2008,107,6,2.35,0,1538
USA,R,32000000,2008,388,7.6,1.85,15000,1539
USA,R,,2012,945,5.6,1.85,0,1540
USA,PG,33000000,2003,11000,6.9,1.85,21000,1541
USA,PG,32000000,1996,941,6.4,2.35,0,1542
Canada,PG,35000000,2002,664,5.1,1.85,0,1543
USA,PG-13,32000000,1988,1000,7,1.85,11000,1544
Germany,PG,32000000,2006,635,5.7,1.85,0,1545
USA,R,32500000,2011,655,6.8,2.35,27000,1546
USA,R,32000000,2013,11000,6.7,2.35,97000,1547
USA,R,29000000,1999,724,6.2,2.35,0,1548
USA,R,32000000,2000,9000,7.2,2.35,0,1549
USA,PG-13,20000000,2010,4000,6.2,2.35,0,1550
USA,R,35000000,2013,22000,5.6,2.35,0,1551
USA,PG-13,32000000,2011,845,4.4,2.35,0,1552
USA,PG-13,32000000,2011,491,7.5,1.85,56000,1553
USA,R,32000000,1993,242,7.1,1.85,0,1554
USA,R,32000000,2007,912,6.4,2.35,10000,1555
France,PG,33000000,2013,648,7.1,2.35,5000,1556
USA,PG,35000000,1979,1000,5.9,2.35,2000,1557
USA,PG,32000000,2005,579,6.9,2.35,0,1558
USA,R,32000000,2005,917,7.5,1.85,0,1559
France,PG-13,32000000,2005,1000,6.3,2.35,0,1560
Japan,R,32000000,1995,165,6.4,1.85,0,1561
Ireland,PG-13,28000000,2004,160,5.9,2.35,702,1562
USA,R,55000000,1999,368,6.8,2.35,0,1563
USA,R,32000000,2010,561,6.3,2.35,12000,1564
South Korea,PG-13,35000000,2007,618,3.6,2.35,0,1565
USA,PG,30000000,1996,359,5.3,1.85,350,1566
USA,PG-13,30000000,2013,10000,5.9,2.35,13000,1567
USA,G,32000000,1997,2000,6.9,1.33,643,1568
USA,R,32000000,1999,898,6.9,2.35,625,1569
USA,R,32000000,2006,552,6.1,1.66,559,1570
USA,PG,32000000,2004,239,5.7,2.35,290,1571
USA,R,31500000,1979,10000,8.5,2.35,19000,1572
USA,R,32000000,2010,730,6.3,2.35,0,1573
USA,PG,6500000,1995,345,7.3,2.35,0,1574
UK,R,31500000,2016,877,6.3,2.35,0,1575
USA,PG,31000000,1985,920,7.2,1.85,0,1576
USA,R,31000000,2012,984,7.3,2.35,64000,1577
UK,PG,34000000,1979,202,6.3,2.35,0,1578
USA,R,25000000,2014,1000,8.1,1.37,149000,1579
USA,PG-13,31000000,2001,495,6.9,2.35,0,1580
USA,PG-13,31000000,1990,151,6.3,1.85,0,1581
USA,PG-13,31000000,2000,702,7.3,2.35,0,1582
USA,PG-13,144000000,2016,370,5.5,2.35,62000,1583
USA,R,31000000,2015,12000,6.1,2.35,28000,1584
USA,R,30250000,1995,808,6.9,1.85,0,1585
USA,PG-13,45000000,2002,151,7.2,1.85,0,1586
USA,PG-13,34200000,1999,11000,6.4,1.85,0,1587
USA,R,30000000,2001,1000,6.4,1.85,0,1588
USA,G,30000000,1995,1000,8.3,1.85,0,1589
USA,R,25000000,1994,946,7.2,2.35,0,1590
USA,PG-13,30000000,2012,359,6.8,2.35,32000,1591
USA,PG,31000000,2010,3000,6.5,1.85,0,1592
USA,PG,30000000,2000,18000,7.8,2.35,0,1593
USA,PG,30000000,1990,692,7.6,2.35,0,1594
USA,PG-13,30000000,2013,1000,7.2,1.85,41000,1595
USA,PG-13,20000000,2004,939,6.7,2.35,0,1596
USA,PG-13,38000000,1991,1000,6.8,1.85,5000,1597
USA,PG-13,30000000,1995,461,6.3,2.35,0,1598
USA,G,37000000,2001,995,6.2,1.85,0,1599
USA,PG,26000000,1996,893,6.2,1.85,0,1600
USA,R,33000000,1995,11000,8.6,2.35,39000,1601
South Africa,R,30000000,2009,433,8,1.85,22000,1602
USA,PG,30000000,2004,542,7,1.85,0,1603
USA,R,25000000,2003,541,8,2.35,12000,1604
USA,PG-13,30000000,2004,11000,8.1,2.35,14000,1605
USA,R,30000000,1999,979,6.7,1.85,0,1606
USA,PG-13,29000000,2004,638,7.9,2.35,57000,1607
USA,PG-13,30000000,2008,805,6.1,2.35,0,1608
USA,G,30000000,2009,1000,4.2,1.85,0,1609
Germany,G,30000000,2000,844,6.1,1.85,181,1610
USA,R,30000000,1991,713,6.6,1.85,883,1611
USA,R,30000000,1994,11000,7.5,1.85,11000,1612
USA,R,25000000,2009,10000,7.4,1.85,19000,1613
USA,R,30000000,2002,344,7.2,1.85,0,1614
USA,PG-13,35000000,2013,18,6.9,2.35,81000,1615
USA,R,30000000,2012,13000,7.4,2.35,75000,1616
USA,PG-13,30000000,2001,891,5.4,1.85,602,1617
Australia,G,30000000,1995,368,6.8,1.85,5000,1618
USA,PG-13,30000000,2012,7000,6.3,2.35,0,1619
USA,R,30000000,2008,975,7.2,1.85,0,1620
USA,TV-14,,,741,8.7,1.78,0,1621
USA,R,45000000,2005,654,6.9,2.35,0,1622
USA,PG-13,30000000,2008,1000,6,1.85,0,1623
USA,PG-13,30000000,1998,631,5.9,1.85,0,1624
USA,PG,30000000,2009,826,5.4,1.85,0,1625
USA,PG-13,19000000,2004,316,5.9,2.35,0,1626
USA,PG-13,37000000,2004,2000,6.1,1.85,0,1627
Spain,PG-13,17000000,2011,204,7.7,1.85,78000,1628
Canada,PG,42000000,2014,3000,5.8,1.85,0,1629
USA,R,30000000,2001,1000,7.6,2.35,13000,1630
USA,PG-13,55000000,1999,652,6.1,2.35,0,1631
USA,PG,27800000,1989,664,5.4,2.35,0,1632
USA,PG,30000000,2002,889,5.1,1.85,1000,1633
USA,PG-13,30000000,1994,459,6.4,1.85,1000,1634
UK,PG,30000000,1985,439,6.3,2.35,0,1635
UK,G,30000000,2005,269,7.5,1.85,0,1636
USA,PG-13,30000000,2007,631,7.1,1.85,20000,1637
USA,PG,,2005,934,5.2,1.85,771,1638
UK,R,30000000,2007,1000,7.8,1.85,12000,1639
USA,PG,30000000,2010,60,6.5,2.35,13000,1640
USA,R,30000000,1989,255,6.6,2.35,0,1641
USA,PG,,2012,860,5.1,1.85,13000,1642
USA,PG,40000000,2005,16000,7.4,1.85,0,1643
USA,PG,,2006,663,7.2,2.35,0,1644
USA,R,30000000,2015,221,7.6,2.39,59000,1645
USA,R,30000000,2015,1000,7.5,2.35,44000,1646
USA,PG-13,30000000,2009,1000,6.6,2.35,11000,1647
USA,PG-13,25000000,2015,2000,7.2,2.35,34000,1648
USA,PG,30000000,2003,3000,7.6,1.85,0,1649
USA,PG-13,30000000,2010,594,6.2,1.85,16000,1650
USA,PG-13,30000000,2002,495,5.6,1.85,0,1651
USA,PG-13,38000000,2006,189,7.6,1.85,13000,1652
USA,R,32000000,2007,72,6.6,2.35,0,1653
USA,R,30000000,2012,821,7,2.35,66000,1654
USA,PG-13,30000000,2008,759,2.7,1.85,0,1655
USA,R,30000000,1988,581,7.6,1.85,0,1656
USA,R,27000000,1987,571,6.6,1.37,0,1657
USA,PG-13,25000000,1986,854,6.9,1.85,0,1658
USA,PG-13,30000000,2011,33,6.8,2.35,38000,1659
USA,TV-PG,,,805,7.5,16,0,1660
USA,PG-13,30000000,1997,349,3.7,1.85,1000,1661
USA,PG-13,30000000,2011,839,6.1,2.35,0,1662
USA,R,30000000,2013,2000,5.9,2.35,39000,1663
USA,PG-13,30000000,2006,712,6.7,1.85,0,1664
USA,TV-MA,,,638,8.5,1.78,0,1665
USA,PG-13,30000000,2006,2000,6.9,2.35,0,1666
USA,PG-13,45000000,2001,611,5.5,1.85,304,1667
USA,PG-13,30000000,2009,271,7.1,1.85,13000,1668
USA,R,30000000,2013,681,7.1,1.85,29000,1669
USA,PG,,2004,530,5.9,1.85,0,1670
USA,G,30000000,2011,73,7.3,1.85,0,1671
USA,PG-13,19000000,2003,291,3.4,1.37,1000,1672
USA,R,30000000,1998,199,6.8,1.85,0,1673
USA,PG-13,30000000,2014,491,6.9,1.85,11000,1674
USA,R,30000000,1998,882,7,1.85,592,1675
USA,R,30000000,1995,723,5.5,2.35,0,1676
USA,PG-13,30000000,2006,776,5.1,2.35,1000,1677
USA,R,30000000,2014,1000,6.2,2.35,18000,1678
USA,R,30000000,2011,942,5.9,1.85,11000,1679
USA,PG-13,35000000,2004,681,5.2,2.35,484,1680
USA,R,30000000,2012,401,6.2,1.85,11000,1681
USA,PG-13,30000000,2004,962,5.5,1.85,491,1682
USA,PG-13,35000000,2010,796,7.4,2.35,27000,1683
USA,PG-13,30000000,2006,829,4.4,1.85,0,1684
USA,R,20000000,2005,739,6.3,2.35,999,1685
USA,R,30000000,1998,968,6.1,2.35,629,1686
USA,R,25000000,1996,561,5.3,1.85,204,1687
USA,PG-13,30000000,2002,953,5.4,2.35,0,1688
USA,R,30000000,2010,11000,6.7,1.85,24000,1689
USA,R,30000000,2007,975,5.9,2.35,0,1690
USA,R,35000000,2005,9000,7.3,2.35,0,1691
USA,PG-13,40000000,2004,2000,5.5,1.85,462,1692
Canada,R,26000000,2009,686,5.8,1.85,12000,1693
USA,PG,35000000,1986,692,4.6,1.85,0,1694
USA,R,30000000,2008,807,6.7,1.85,0,1695
USA,PG-13,30000000,2005,787,5.1,2.35,0,1696
USA,PG-13,30000000,2003,206,5.6,1.85,625,1697
USA,PG-13,30000000,2004,93,7,2.35,0,1698
USA,R,30000000,2011,343,6.4,1.85,23000,1699
USA,PG-13,30000000,2005,909,6.7,2.35,0,1700
USA,PG-13,30000000,1999,586,4.1,2.35,858,1701
USA,R,30000000,1999,767,5.5,1.85,654,1702
USA,PG,45000000,2009,315,2.7,2.35,0,1703
USA,R,45000000,2013,236,6.4,2.35,24000,1704
USA,PG-13,25000000,2004,829,4.8,2.35,387,1705
USA,PG-13,23000000,2004,143,6.1,2.35,0,1706
USA,PG,30000000,2011,857,4.8,1.85,0,1707
USA,PG-13,30000000,2005,329,7,2.35,0,1708
UK,PG-13,40000000,2009,785,6.8,1.85,19000,1709
Canada,R,,2010,460,7.3,2.35,0,1710
Iceland,,,,63,8.2,16,0,1711
USA,R,30000000,2013,697,5.6,2.35,0,1712
USA,PG-13,30000000,2001,240,6.1,2.35,0,1713
USA,R,18000000,1989,11000,7.9,1.85,0,1714
Italy,R,30000000,1984,683,8.4,1.85,12000,1715
USA,R,30000000,2013,678,6.5,2.35,0,1716
USA,R,18000000,2004,871,7.1,2.35,0,1717
France,R,25000000,2002,378,6.6,1.85,287,1718
USA,PG-13,,2005,2000,4,1.85,353,1719
UK,PG,30000000,2006,142,7,2.35,0,1720
China,PG-13,60000000,2005,181,5.6,2.35,445,1721
USA,PG-13,21000000,2006,816,4.8,2.35,0,1722
USA,R,30000000,2007,10000,7.5,2.35,0,1723
China,R,18000000,2011,643,6,2.35,0,1724
France,,,2009,71,7.2,1.85,0,1725
USA,R,30000000,2015,947,5.6,2.35,0,1726
USA,R,30000000,2011,1000,6.8,2.35,21000,1727
Germany,PG,,2010,898,4.9,2.39,885,1728
